config,media,mediana,max,min
380_pc1.0_pm0.05_torneio_pop100_gen100_elitTrue_cross,2.062611866526409,2.0626118702521774,2.0626118702521774,2.0626118559651045
236_pc0.8_pm0.05_torneio_pop100_gen100_elitTrue_cross,2.062611856970469,2.0626118702521774,2.0626118702521774,2.06261166821168
92_pc0.6_pm0.05_torneio_pop100_gen100_elitTrue_cross,2.0626118511472846,2.0626118702521774,2.0626118702521774,2.062611457623527
88_pc0.6_pm0.05_torneio_pop100_gen50_elitTrue_cross,2.0626118041817936,2.062611862753255,2.0626118702521774,2.0626111027123613
232_pc0.8_pm0.05_torneio_pop100_gen50_elitTrue_cross,2.0626117918805447,2.0626118496227464,2.0626118702521774,2.0626114529533046
376_pc1.0_pm0.05_torneio_pop100_gen50_elitTrue_cross,2.0626117133609188,2.0626118334716548,2.0626118702521774,2.0626111027123613
164_pc0.8_pm0.01_roleta_pop100_gen100_elitTrue_cross,2.062611457953752,2.0626114467310765,2.0626118702521774,2.0626099679602263
276_pc0.8_pm0.1_torneio_pop50_gen100_elitTrue_cross,2.062610831507518,2.062611299765844,2.0626118088065377,2.0626055907084297
420_pc1.0_pm0.1_torneio_pop50_gen100_elitTrue_cross,2.0626107484067244,2.062610964319261,2.0626118702521774,2.062607598993772
284_pc0.8_pm0.1_torneio_pop100_gen100_elitTrue_cross,2.06261070022595,2.0626111027123613,2.062611809185268,2.062604435997818
